时间,基金代码,基金简称,跟踪指数,旧状态,新状态,旧限额,新限额
2026-05-11T17:16:10+08:00,270042,广发纳斯达克100ETF联接人民币(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T17:16:11+08:00,539001,建信纳斯达克100指数(QDII)A人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:22:52+08:00,000834,大成纳斯达克100ETF联接(QDII)A,纳斯达克100,(新增),限制大额申购,,500.0
2026-05-15T11:22:54+08:00,006075,博时标普500ETF联接C,标普500,(新增),暂停申购,,100.0
2026-05-15T11:22:56+08:00,006479,广发纳斯达克100ETF联接人民币(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-15T11:22:58+08:00,007721,天弘标普500发起(QDII-FOF)A,标普500,(新增),限制大额申购,,100.0
2026-05-15T11:23:00+08:00,007722,天弘标普500发起(QDII-FOF)C,标普500,(新增),限制大额申购,,100.0
2026-05-15T11:23:02+08:00,008401,大成标普500等权重指数(QDII)C人民币,标普500,(新增),限制大额申购,,1000.0
2026-05-15T11:23:04+08:00,008971,大成纳斯达克100ETF联接(QDII)C,纳斯达克100,(新增),限制大额申购,,500.0
2026-05-15T11:23:06+08:00,012752,建信纳斯达克100指数(QDII)C人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:23:08+08:00,012860,易方达标普500指数人民币C,标普500,(新增),暂停申购,,10.0
2026-05-15T11:23:10+08:00,012870,易方达纳斯达克100ETF联接(QDII-LOF)C(人民币),纳斯达克100,(新增),暂停申购,,10.0
2026-05-15T11:23:12+08:00,014978,华安纳斯达克100ETF联接(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-15T11:23:14+08:00,015299,华夏纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),暂停申购,,100.0
2026-05-15T11:23:16+08:00,015300,华夏纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),暂停申购,,100.0
2026-05-15T11:23:18+08:00,016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-15T11:23:20+08:00,016057,博时纳斯达克100ETF发起式联接(QDII)C人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-15T11:23:22+08:00,016452,南方纳斯达克100指数发起(QDII)A,纳斯达克100,(新增),限制大额申购,,200.0
2026-05-15T11:23:24+08:00,016453,南方纳斯达克100指数发起(QDII)C,纳斯达克100,(新增),限制大额申购,,200.0
2026-05-15T11:23:26+08:00,016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-15T11:23:28+08:00,016533,嘉实纳斯达克100ETF发起联接(QDII)C人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-15T11:23:31+08:00,017028,国泰标普500ETF发起联接(QDII)A人民币,标普500,(新增),暂停申购,,
2026-05-15T11:23:33+08:00,017030,国泰标普500ETF发起联接(QDII)C人民币,标普500,(新增),暂停申购,,
2026-05-15T11:23:35+08:00,017641,摩根标普500指数(QDII)人民币A,标普500,(新增),限制大额申购,,100.0
2026-05-15T11:23:37+08:00,018043,天弘纳斯达克100指数发起(QDII)A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:23:39+08:00,018044,天弘纳斯达克100指数发起(QDII)C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:23:41+08:00,018064,华夏标普500ETF发起式联接(QDII)A(人民币),标普500,(新增),暂停申购,,100.0
2026-05-15T11:23:43+08:00,018065,华夏标普500ETF发起式联接(QDII)C,标普500,(新增),暂停申购,,100.0
2026-05-15T11:23:45+08:00,018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:23:47+08:00,018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:23:49+08:00,019172,摩根纳斯达克100指数(QDII)人民币A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:23:51+08:00,019173,摩根纳斯达克100指数(QDII)人民币C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:23:53+08:00,019305,摩根标普500指数(QDII)人民币C,标普500,(新增),限制大额申购,,100.0
2026-05-15T11:23:55+08:00,019441,万家纳斯达克100指数发起式(QDII)A,纳斯达克100,(新增),限制大额申购,,50.0
2026-05-15T11:23:57+08:00,019442,万家纳斯达克100指数发起式(QDII)C,纳斯达克100,(新增),限制大额申购,,50.0
2026-05-15T11:23:59+08:00,019524,华泰柏瑞纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-15T11:24:02+08:00,019525,华泰柏瑞纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-15T11:24:05+08:00,019547,招商纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:24:07+08:00,019548,招商纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:24:09+08:00,019736,宝盈纳斯达克100指数发起(QDII)A人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:24:11+08:00,019737,宝盈纳斯达克100指数发起(QDII)C人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-15T11:24:15+08:00,040046,华安纳斯达克100ETF联接(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-15T11:24:17+08:00,050025,博时标普500ETF联接A,标普500,(新增),暂停申购,,100.0
2026-05-15T11:24:19+08:00,096001,大成标普500等权重指数(QDII)A人民币,标普500,(新增),限制大额申购,,1000.0
2026-05-15T11:24:21+08:00,160213,国泰纳斯达克100指数,纳斯达克100,(新增),暂停申购,,5000.0
2026-05-15T11:24:23+08:00,161125,易方达标普500指数人民币A,标普500,(新增),暂停申购,,10.0
2026-05-15T11:24:25+08:00,161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),纳斯达克100,(新增),暂停申购,,10.0
2026-05-15T11:24:27+08:00,270042,广发纳斯达克100ETF联接人民币(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-15T11:24:29+08:00,539001,建信纳斯达克100指数(QDII)A人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-26T15:02:02+08:00,000834,大成纳斯达克100ETF联接(QDII)A,纳斯达克100,限制大额申购,限制大额申购,500.0,100.0
2026-05-26T15:02:12+08:00,008401,大成标普500等权重指数(QDII)C人民币,标普500,限制大额申购,限制大额申购,1000.0,50.0
2026-05-26T15:02:14+08:00,008971,大成纳斯达克100ETF联接(QDII)C,纳斯达克100,限制大额申购,限制大额申购,500.0,100.0
2026-05-26T15:03:28+08:00,096001,大成标普500等权重指数(QDII)A人民币,标普500,限制大额申购,限制大额申购,1000.0,50.0
2026-05-26T15:03:30+08:00,160213,国泰纳斯达克100指数,纳斯达克100,暂停申购,限制大额申购,5000.0,100.0
2026-05-27T18:20:15+08:00,000834,大成纳斯达克100ETF联接(QDII)A,纳斯达克100,限制大额申购,限制大额申购,100.0,50.0
2026-05-27T18:20:26+08:00,008971,大成纳斯达克100ETF联接(QDII)C,纳斯达克100,限制大额申购,限制大额申购,100.0,50.0
2026-06-03T09:36:29+08:00,007721,天弘标普500发起(QDII-FOF)A,标普500,限制大额申购,暂停申购,100.0,100.0
2026-06-03T09:36:31+08:00,007722,天弘标普500发起(QDII-FOF)C,标普500,限制大额申购,暂停申购,100.0,100.0
2026-06-03T09:37:08+08:00,018043,天弘纳斯达克100指数发起(QDII)A,纳斯达克100,限制大额申购,暂停申购,100.0,100.0
2026-06-03T09:37:10+08:00,018044,天弘纳斯达克100指数发起(QDII)C,纳斯达克100,限制大额申购,暂停申购,100.0,100.0
2026-06-03T09:37:49+08:00,160213,国泰纳斯达克100指数,纳斯达克100,限制大额申购,暂停申购,100.0,100.0
2026-06-04T18:10:19+08:00,000834,大成纳斯达克100ETF联接(QDII)A,纳斯达克100,限制大额申购,限制大额申购,50.0,10.0
2026-06-04T18:10:29+08:00,008401,大成标普500等权重指数(QDII)C人民币,标普500,限制大额申购,限制大额申购,50.0,10.0
2026-06-04T18:10:31+08:00,008971,大成纳斯达克100ETF联接(QDII)C,纳斯达克100,限制大额申购,限制大额申购,50.0,10.0
2026-06-04T18:11:01+08:00,017641,摩根标普500指数(QDII)人民币A,标普500,限制大额申购,限制大额申购,100.0,10.0
2026-06-04T18:11:20+08:00,019305,摩根标普500指数(QDII)人民币C,标普500,限制大额申购,限制大额申购,100.0,10.0
2026-06-04T18:11:41+08:00,096001,大成标普500等权重指数(QDII)A人民币,标普500,限制大额申购,限制大额申购,50.0,10.0
2026-06-16T16:38:43+08:00,019172,摩根纳斯达克100指数(QDII)人民币A,纳斯达克100,限制大额申购,限制大额申购,100.0,10.0
2026-06-16T16:38:45+08:00,019173,摩根纳斯达克100指数(QDII)人民币C,纳斯达克100,限制大额申购,限制大额申购,100.0,10.0
2026-06-16T16:38:57+08:00,019547,招商纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,限制大额申购,限制大额申购,100.0,10.0
2026-06-16T16:38:59+08:00,019548,招商纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,限制大额申购,限制大额申购,100.0,10.0
2026-06-16T16:39:01+08:00,019736,宝盈纳斯达克100指数发起(QDII)A人民币,纳斯达克100,限制大额申购,限制大额申购,100.0,10.0
2026-06-16T16:39:03+08:00,019737,宝盈纳斯达克100指数发起(QDII)C人民币,纳斯达克100,限制大额申购,限制大额申购,100.0,10.0
2026-06-22T11:53:17+08:00,016452,南方纳斯达克100指数发起(QDII)A,纳斯达克100,限制大额申购,限制大额申购,200.0,50.0
2026-06-22T11:53:19+08:00,016453,南方纳斯达克100指数发起(QDII)C,纳斯达克100,限制大额申购,限制大额申购,200.0,50.0
2026-06-22T11:53:48+08:00,019441,万家纳斯达克100指数发起式(QDII)A,纳斯达克100,限制大额申购,限制大额申购,50.0,
2026-06-22T11:53:50+08:00,019442,万家纳斯达克100指数发起式(QDII)C,纳斯达克100,限制大额申购,限制大额申购,50.0,
2026-07-20T11:08:14+08:00,016452,南方纳斯达克100指数发起(QDII)A,纳斯达克100,限制大额申购,限制大额申购,50.0,10.0
2026-07-20T11:08:16+08:00,016453,南方纳斯达克100指数发起(QDII)C,纳斯达克100,限制大额申购,限制大额申购,50.0,10.0
2026-07-20T11:08:39+08:00,018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,纳斯达克100,限制大额申购,限制大额申购,100.0,10.0
2026-07-20T11:08:41+08:00,018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,纳斯达克100,限制大额申购,限制大额申购,100.0,10.0
2026-07-20T11:08:49+08:00,019441,万家纳斯达克100指数发起式(QDII)A,纳斯达克100,限制大额申购,限制大额申购,,10.0
2026-07-20T11:08:51+08:00,019442,万家纳斯达克100指数发起式(QDII)C,纳斯达克100,限制大额申购,限制大额申购,,10.0
2026-07-30T15:04:10+08:00,006479,广发纳斯达克100ETF联接人民币(QDII)C,纳斯达克100,限制大额申购,限制大额申购,10.0,5.0
2026-07-30T15:05:35+08:00,270042,广发纳斯达克100ETF联接人民币(QDII)A,纳斯达克100,限制大额申购,限制大额申购,10.0,5.0
2026-08-19T16:07:37+08:00,012752,建信纳斯达克100指数(QDII)C人民币,纳斯达克100,限制大额申购,限制大额申购,100.0,10.0
2026-08-19T16:08:42+08:00,160213,国泰纳斯达克100指数,纳斯达克100,暂停申购,限制大额申购,100.0,50.0
2026-08-19T16:08:49+08:00,539001,建信纳斯达克100指数(QDII)A人民币,纳斯达克100,限制大额申购,限制大额申购,100.0,10.0
