时间,基金代码,基金简称,跟踪指数,旧状态,新状态,旧限额,新限额
2026-05-11T12:11:35+08:00,018065,华夏标普500ETF发起式联接(QDII)C,标普500,(新增),暂停申购,,100.0
2026-05-11T12:12:08+08:00,021838,嘉实纳斯达克100ETF发起联接(QDII)I人民币,纳斯达克100,(新增),暂停申购,,
2026-05-11T12:12:18+08:00,024237,博时纳斯达克100ETF发起式联接(QDII)I人民币,纳斯达克100,(新增),暂停申购,,
2026-05-11T12:12:21+08:00,050025,博时标普500ETF联接A,标普500,(新增),暂停申购,,100.0
2026-05-11T12:12:25+08:00,160213,国泰纳斯达克100指数,纳斯达克100,(新增),暂停申购,,5000.0
2026-05-11T12:12:27+08:00,161125,易方达标普500指数人民币A,标普500,(新增),暂停申购,,10.0
2026-05-11T12:12:29+08:00,161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),纳斯达克100,(新增),暂停申购,,10.0
2026-05-11T12:19:43+08:00,000834,大成纳斯达克100ETF联接(QDII)A,纳斯达克100,(新增),限制大额申购,,500.0
2026-05-11T12:19:45+08:00,006075,博时标普500ETF联接C,标普500,(新增),暂停申购,,100.0
2026-05-11T12:19:47+08:00,006479,广发纳斯达克100ETF联接人民币(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T12:19:49+08:00,007721,天弘标普500发起(QDII-FOF)A,标普500,(新增),限制大额申购,,100.0
2026-05-11T12:19:51+08:00,007722,天弘标普500发起(QDII-FOF)C,标普500,(新增),限制大额申购,,100.0
2026-05-11T12:19:53+08:00,008401,大成标普500等权重指数(QDII)C人民币,标普500,(新增),限制大额申购,,1000.0
2026-05-11T12:19:55+08:00,008971,大成纳斯达克100ETF联接(QDII)C,纳斯达克100,(新增),限制大额申购,,500.0
2026-05-11T12:19:57+08:00,012752,建信纳斯达克100指数(QDII)C人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:19:59+08:00,012860,易方达标普500指数人民币C,标普500,(新增),暂停申购,,10.0
2026-05-11T12:20:00+08:00,012870,易方达纳斯达克100ETF联接(QDII-LOF)C(人民币),纳斯达克100,(新增),暂停申购,,10.0
2026-05-11T12:20:02+08:00,014978,华安纳斯达克100ETF联接(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T12:20:04+08:00,015299,华夏纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T12:20:06+08:00,015300,华夏纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T12:20:08+08:00,016055,博时纳斯达克100ETF发起式联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T12:20:10+08:00,016057,博时纳斯达克100ETF发起式联接(QDII)C人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T12:20:12+08:00,016452,南方纳斯达克100指数发起(QDII)A,纳斯达克100,(新增),限制大额申购,,200.0
2026-05-11T12:20:14+08:00,016453,南方纳斯达克100指数发起(QDII)C,纳斯达克100,(新增),限制大额申购,,200.0
2026-05-11T12:20:16+08:00,016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T12:20:17+08:00,016533,嘉实纳斯达克100ETF发起联接(QDII)C人民币,纳斯达克100,(新增),暂停申购,,100.0
2026-05-11T12:20:19+08:00,017028,国泰标普500ETF发起联接(QDII)A人民币,标普500,(新增),暂停申购,,
2026-05-11T12:20:21+08:00,017030,国泰标普500ETF发起联接(QDII)C人民币,标普500,(新增),暂停申购,,
2026-05-11T12:20:23+08:00,017641,摩根标普500指数(QDII)人民币A,标普500,(新增),限制大额申购,,100.0
2026-05-11T12:20:25+08:00,018043,天弘纳斯达克100指数发起(QDII)A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:20:27+08:00,018044,天弘纳斯达克100指数发起(QDII)C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:20:29+08:00,018064,华夏标普500ETF发起式联接(QDII)A(人民币),标普500,(新增),暂停申购,,100.0
2026-05-11T12:20:31+08:00,018065,华夏标普500ETF发起式联接(QDII)C,标普500,(新增),暂停申购,,100.0
2026-05-11T12:20:33+08:00,018738,博时标普500ETF联接E(人民币),标普500,(新增),限制大额申购,,
2026-05-11T12:20:35+08:00,018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:20:37+08:00,018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:20:39+08:00,019172,摩根纳斯达克100指数(QDII)人民币A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:20:41+08:00,019173,摩根纳斯达克100指数(QDII)人民币C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:20:43+08:00,019305,摩根标普500指数(QDII)人民币C,标普500,(新增),限制大额申购,,100.0
2026-05-11T12:20:45+08:00,019441,万家纳斯达克100指数发起式(QDII)A,纳斯达克100,(新增),限制大额申购,,50.0
2026-05-11T12:20:47+08:00,019442,万家纳斯达克100指数发起式(QDII)C,纳斯达克100,(新增),限制大额申购,,50.0
2026-05-11T12:20:49+08:00,019524,华泰柏瑞纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T12:20:51+08:00,019525,华泰柏瑞纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T12:20:53+08:00,019547,招商纳斯达克100ETF发起式联接(QDII)A,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:20:55+08:00,019548,招商纳斯达克100ETF发起式联接(QDII)C,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:20:57+08:00,019736,宝盈纳斯达克100指数发起(QDII)A人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:20:59+08:00,019737,宝盈纳斯达克100指数发起(QDII)C人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:21:01+08:00,021000,南方纳斯达克100指数发起(QDII)I,纳斯达克100,(新增),限制大额申购,,
2026-05-11T12:21:03+08:00,021773,汇添富纳斯达克100ETF发起式联接(QDII)人民币E,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:21:05+08:00,021778,广发纳指100ETF联接(QDII)人民币F,纳斯达克100,(新增),限制大额申购,,
2026-05-11T12:21:07+08:00,021838,嘉实纳斯达克100ETF发起联接(QDII)I人民币,纳斯达克100,(新增),暂停申购,,
2026-05-11T12:21:09+08:00,022523,天弘标普500发起(QDII-FOF)D,标普500,(新增),限制大额申购,,
2026-05-11T12:21:11+08:00,022525,天弘纳斯达克100指数发起(QDII)D,纳斯达克100,(新增),限制大额申购,,
2026-05-11T12:21:13+08:00,022664,华泰柏瑞纳斯达克100ETF发起式联接(QDII)I,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T12:21:15+08:00,023422,建信纳斯达克100指数(QDII)D人民币,纳斯达克100,(新增),限制大额申购,,100.0
2026-05-11T12:21:16+08:00,024237,博时纳斯达克100ETF发起式联接(QDII)I人民币,纳斯达克100,(新增),暂停申购,,
2026-05-11T12:21:18+08:00,040046,华安纳斯达克100ETF联接(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
2026-05-11T12:21:20+08:00,050025,博时标普500ETF联接A,标普500,(新增),暂停申购,,100.0
2026-05-11T12:21:22+08:00,096001,大成标普500等权重指数(QDII)A人民币,标普500,(新增),限制大额申购,,1000.0
2026-05-11T12:21:24+08:00,160213,国泰纳斯达克100指数,纳斯达克100,(新增),暂停申购,,5000.0
2026-05-11T12:21:26+08:00,161125,易方达标普500指数人民币A,标普500,(新增),暂停申购,,10.0
2026-05-11T12:21:28+08:00,161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),纳斯达克100,(新增),暂停申购,,10.0
2026-05-11T12:21:29+08:00,270042,广发纳斯达克100ETF联接人民币(QDII)A,纳斯达克100,(新增),限制大额申购,,10.0
